client_orderid,client_custid,client_prodid,cases_ordered,units_ordered,cases_inven,units_inven,discount,discount_flag
11221,4,439,0,0,0,0,0,0
11221,4,446,0,0,0,0,0,0
11197,4,446,0,0,0,0,0,0
11213,4,446,14,0,0,0,0,0
11221,4,465,6,0,0,0,0,0
11197,4,465,6,0,0,0,0,0
11213,4,465,0,0,0,0,0,0
11197,4,468,1,0,0,0,0,0
11221,4,468,1,0,0,0,0,0
11213,4,468,0,0,0,0,0,0
11221,4,470,2,0,0,0,0,0
11197,4,470,2,0,0,0,0,0
11213,4,470,0,0,0,0,0,0
11213,4,471,0,0,0,0,0,0
11197,4,471,0,0,0,0,0,0
11221,4,471,0,0,0,0,0,0
11221,4,474,0,0,0,0,0,0
11197,4,474,0,0,0,0,0,0
11213,4,474,3,0,0,0,0,0
11197,4,475,0,0,0,0,0,0
11213,4,475,2,0,0,0,0,0
11221,4,475,0,0,0,0,0,0
11221,4,487,1,0,0,0,0,0
11213,4,487,0,0,0,0,0,0
11197,4,487,0,0,0,0,0,0
11197,4,500,0,0,0,0,0,0
11213,4,500,2,0,0,0,0,0
11221,4,500,2,0,0,0,0,0
11213,4,501,0,0,0,0,0,0
11221,4,501,9,0,0,0,0,0
11197,4,501,18,0,0,0,0,0
11213,4,510,0,0,0,0,0,0
11197,4,510,1,0,0,0,0,0
11221,4,510,1,0,0,0,0,0
11221,4,513,0,0,0,0,0,0
11197,4,513,0,0,0,0,0,0
11213,4,513,2,0,0,0,0,0
11221,4,539,8,0,0,0,0,0
11197,4,539,8,0,0,0,0,0
11213,4,539,0,0,0,0,0,0
11197,4,542,2,0,0,0,0,0
11221,4,542,2,0,0,0,0,0
11213,4,542,0,0,0,0,0,0
11221,4,544,2,0,0,0,0,0
11197,4,544,2,0,0,0,0,0
11213,4,544,0,0,0,0,0,0
11213,4,545,0,0,0,0,0,0
11197,4,545,4,0,0,0,0,0
11221,4,545,4,0,0,0,0,0
11213,4,547,2,0,0,0,0,0
11197,4,547,0,0,0,0,0,0
11221,4,547,0,0,0,0,0,0
11213,4,548,0,0,0,0,0,0
11197,4,548,0,0,0,0,0,0
11221,4,548,0,0,0,0,0,0
11213,4,554,7,0,0,0,0,0
11221,4,554,49,0,0,0,0,0
11197,4,554,49,0,0,0,0,0
11197,4,558,1,0,0,0,0,0
11213,4,558,0,0,0,0,0,0
11221,4,558,0,0,0,0,0,0
11213,4,562,0,0,0,0,0,0
11221,4,562,1,0,0,0,0,0
11197,4,562,1,0,0,0,0,0
11213,4,573,1,0,0,0,0,0
11221,4,573,0,0,0,0,0,0
11197,4,573,0,0,0,0,0,0
11221,4,583,2,0,0,0,0,0
11213,4,583,0,0,0,0,0,0
11197,4,583,2,0,0,0,0,0
11221,4,588,0,0,0,0,0,0
11213,4,588,1,0,0,0,0,0
11197,4,588,0,0,0,0,0,0
11221,4,591,0,0,0,0,0,0
11197,4,591,0,0,0,0,0,0
11213,4,591,0,0,0,0,0,0
11197,4,603,0,0,0,0,0,0
11213,4,603,5,0,0,0,0,0
11221,4,603,0,0,0,0,0,0
11197,4,651,1,0,0,0,0,0
11213,4,651,1,0,0,0,0,0
11221,4,651,1,0,0,0,0,0
11213,4,680,0,0,0,0,0,0
11221,4,680,0,0,0,0,0,0
11197,4,680,0,0,0,0,0,0
11197,4,687,2,0,0,0,0,0
11213,4,687,0,0,0,0,0,0
11221,4,688,0,0,0,0,0,0
11213,4,688,8,0,0,0,0,0
11197,4,688,0,0,0,0,0,0
11221,4,746,0,0,0,0,0,0
11213,4,746,0,0,0,0,0,0
11197,4,746,0,0,0,0,0,0
11221,4,747,0,0,0,0,0,0
11197,4,747,0,0,0,0,0,0
11213,4,747,0,0,0,0,0,0
11221,4,749,0,0,0,0,0,0
11197,4,749,0,0,0,0,0,0
11213,4,749,0,0,0,0,0,0
11221,4,753,2,0,0,0,0,0
11197,4,753,0,0,0,0,0,0
11213,4,753,0,0,0,0,0,0
11213,4,793,0,0,0,0,0,0
11221,4,793,4,0,0,0,0,0
11197,4,793,4,0,0,0,0,0
11213,4,800,0,0,0,0,0,0
11197,4,800,4,0,0,0,0,0
11221,4,800,0,0,0,0,0,0
11221,4,802,0,0,0,0,0,0
11197,4,802,0,0,0,0,0,0
11213,4,802,1,0,0,0,0,0
11213,4,846,0,0,0,0,0,0
11197,4,846,1,0,0,0,0,0
11221,4,846,1,0,0,0,0,0
11197,4,868,2,0,0,0,0,0
11221,4,868,2,0,0,0,0,0
11213,4,868,0,0,0,0,0,0
11213,4,893,0,0,0,0,0,0
11197,4,893,0,0,0,0,0,0
11221,4,893,0,0,0,0,0,0
11197,4,905,1,0,0,0,0,0
11213,4,905,0,0,0,0,0,0
11221,4,905,1,0,0,0,0,0
11213,4,916,0,0,0,0,0,0
11197,4,916,0,0,0,0,0,0
11221,4,916,1,0,0,0,0,0
11221,4,928,2,0,0,0,0,0
11213,4,928,0,0,0,0,0,0
11197,4,928,1,0,0,0,0,0
11213,4,929,0,0,0,0,0,0
11221,4,929,4,0,0,0,0,0
11197,4,929,4,0,0,0,0,0
11197,4,969,2,0,0,0,0,0
11221,4,969,10,0,0,0,0,0
11213,4,969,0,0,0,0,0,0
11221,4,970,2,0,0,0,0,0
11213,4,970,0,0,0,0,0,0
11197,4,970,0,0,0,0,0,0
11221,4,1023,2,0,0,0,0,0
11213,4,1023,0,0,0,0,0,0
11197,4,1023,2,0,0,0,0,0
11221,4,1051,0,0,0,0,0,0
11197,4,1051,0,0,0,0,0,0
11213,4,1051,2,0,0,0,0,0
11221,4,1055,2,0,0,0,0,0
11197,4,1055,0,0,0,0,0,0
11213,4,1055,4,0,0,0,0,0
11221,4,1059,2,0,0,0,0,0
11197,4,1059,0,0,0,0,0,0
11213,4,1059,0,0,0,0,0,0
11213,4,1075,0,0,0,0,0,0
11197,4,1075,4,0,0,0,0,0
11221,4,1075,6,0,0,0,0,0
11197,4,1105,0,0,0,0,0,0
11213,4,1105,7,0,0,0,0,0
11221,4,1105,0,0,0,0,0,0
11213,4,1115,0,0,0,0,0,0
11221,4,1115,2,0,0,0,0,0
11197,4,1115,2,0,0,0,0,0
11197,4,1116,4,0,0,0,0,0
11213,4,1116,4,0,0,0,0,0
11221,4,1116,4,0,0,0,0,0
11221,4,1117,2,0,0,0,0,0
11197,4,1117,1,0,0,0,0,0
11213,4,1117,0,0,0,0,0,0
11197,4,1136,0,0,0,0,0,0
11221,4,1136,0,0,0,0,0,0
11213,4,1136,0,0,0,0,0,0
11213,4,1191,10,0,0,0,0,0
11221,4,1191,20,0,0,0,0,0
11197,4,1191,20,0,0,0,0,0
11197,4,1211,0,0,0,0,0,0
11221,4,1211,0,0,0,0,0,0
11213,4,1211,0,0,0,0,0,0
11197,4,1230,0,0,0,0,0,0
11213,4,1230,0,0,0,0,0,0
11221,4,1230,1,0,0,0,0,0
11197,4,1236,1,0,0,0,0,0
11213,4,1236,0,0,0,0,0,0
11221,4,1236,0,0,0,0,0,0
11213,4,1316,0,0,0,0,0,0
11197,4,1316,10,0,0,0,0,0
11221,4,1316,0,0,0,0,0,0
11221,4,1336,1,0,0,0,0,0
11197,4,1336,1,0,0,0,0,0
11213,4,1336,0,0,0,0,0,0
11221,4,1339,1,0,0,0,0,0
11213,4,1339,1,0,0,0,0,0
11197,4,1339,1,0,0,0,0,0
11197,4,1344,1,0,0,0,0,0
11213,4,1344,0,0,0,0,0,0
11221,4,1344,1,0,0,0,0,0
11221,4,1346,0,0,0,0,0,0
11197,4,1346,0,0,0,0,0,0
11213,4,1346,0,0,0,0,0,0
11213,4,1347,1,0,0,0,0,0
11197,4,1347,0,0,0,0,0,0
11221,4,1347,0,0,0,0,0,0
11197,4,1349,27,0,0,0,0,0
11221,4,1349,18,0,0,0,0,0
11213,4,1349,9,0,0,0,0,0
11221,4,1350,0,0,0,0,0,0
11197,4,1350,0,0,0,0,0,0
11213,4,1350,0,0,0,0,0,0
11197,4,1361,0,0,0,0,0,0
11221,4,1361,0,0,0,0,0,0
11213,4,1361,0,0,0,0,0,0
11213,4,1377,0,0,0,0,0,0
11197,4,1377,0,0,0,0,0,0
11197,4,1379,0,0,0,0,0,0
11213,4,1379,0,0,0,0,0,0
11221,4,1379,0,0,0,0,0,0
11197,4,1403,0,0,0,0,0,0
11221,4,1403,0,0,0,0,0,0
11213,4,1403,0,0,0,0,0,0
11221,4,1411,0,0,0,0,0,0
11197,4,1411,0,0,0,0,0,0
11213,4,1411,0,0,0,0,0,0
11197,4,1458,0,0,0,0,0,0
11213,4,1458,0,0,0,0,0,0
11221,4,1458,0,0,0,0,0,0
11221,4,1459,0,0,0,0,0,0
11213,4,1459,0,0,0,0,0,0
11197,4,1459,2,0,0,0,0,0
11197,4,1464,2,0,0,0,0,0
11213,4,1464,0,0,0,0,0,0
11221,4,1464,0,0,0,0,0,0
11213,4,1474,3,0,0,0,0,0
11197,4,1474,2,0,0,0,0,0
11221,4,1474,3,0,0,0,0,0
20411,7,16,1,0,0,0,0,0
20353,7,16,0,0,0,0,0,0
20411,7,27,0,0,0,0,0,0
20353,7,27,1,0,0,0,0,0
20353,7,58,0,0,0,0,0,0
20411,7,58,2,0,0,0,0,0
20411,7,60,0,0,0,0,0,0
20353,7,60,10,0,0,0,0,0
20353,7,62,3,0,0,0,0,0
20411,7,62,0,0,0,0,0,0
20353,7,64,2,0,0,0,0,0
20411,7,64,0,0,0,0,0,0
20353,7,66,0,0,0,0,0,0
20411,7,66,2,0,0,0,0,0
20411,7,68,1,0,0,0,0,0
20353,7,68,0,0,0,0,0,0
20411,7,71,1,0,0,0,0,0
20353,7,71,0,0,0,0,0,0
20353,7,77,8,0,0,0,0,0
20411,7,77,0,0,0,0,0,0
20411,7,78,20,0,0,0,0,0
20353,7,78,30,0,0,0,0,0
20353,7,95,0,0,0,0,0,0
20411,7,95,1,0,0,0,0,0
20353,7,103,0,0,0,0,0,0
20411,7,103,2,0,0,0,0,0
20411,7,105,1,0,0,0,0,0
20353,7,105,2,0,0,0,0,0
20411,7,113,5,0,0,0,0,0
20353,7,113,0,0,0,0,0,0
